City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Hithadhoo,MV,-0.6,73.0833,82.38,73,100,10.38,overcast clouds,2021-08-07 20:18:24
1,Nishihara,JP,26.1842,127.7558,78.85,97,90,19.57,light intensity shower rain,2021-08-07 20:18:24
2,Hobart,AU,-42.8794,147.3294,35.26,89,75,3.0,broken clouds,2021-08-07 20:18:24
3,Khatanga,RU,71.9667,102.5,50.22,68,73,8.37,broken clouds,2021-08-07 20:18:24
4,Monki,PL,53.405,22.7979,59.7,88,33,6.44,scattered clouds,2021-08-07 20:18:25
5,Hasaki,JP,35.7333,140.8333,79.2,88,100,14.63,heavy intensity rain,2021-08-07 20:13:40
6,Whitehorse,CA,60.7161,-135.0538,63.1,82,75,4.61,broken clouds,2021-08-07 20:17:11
7,Albany,US,42.6001,-73.9662,87.15,67,99,1.99,overcast clouds,2021-08-07 20:15:43
8,Guadix,ES,37.2993,-3.1392,78.46,26,0,4.59,clear sky,2021-08-07 20:18:25
9,Komsomolskiy,UZ,40.4272,71.7189,79.52,36,65,11.5,broken clouds,2021-08-07 20:18:26
10,Sao Filipe,CV,14.8961,-24.4956,79.2,80,47,5.97,scattered clouds,2021-08-07 20:18:26
11,Pemberton,CA,50.3164,-122.8027,65.89,92,100,4.25,overcast clouds,2021-08-07 20:18:26
12,Sapouy,BF,11.5544,-1.7736,79.21,72,96,9.15,overcast clouds,2021-08-07 20:18:26
13,Rikitea,PF,-23.1203,-134.9692,74.01,80,11,12.33,few clouds,2021-08-07 20:18:27
14,Arequipa,PE,-16.3989,-71.535,68.07,19,0,11.5,clear sky,2021-08-07 20:18:27
15,Yanam,IN,16.7333,82.2167,82.38,78,100,5.23,overcast clouds,2021-08-07 20:18:27
16,Abu Dhabi,AE,24.4667,54.3667,95.11,63,0,4.61,clear sky,2021-08-07 20:18:02
17,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.02,73,54,16.11,broken clouds,2021-08-07 20:18:28
18,Brae,GB,60.3964,-1.353,58.91,91,100,17.81,overcast clouds,2021-08-07 20:18:28
19,Hinche,HT,19.15,-72.0167,89.02,46,19,8.28,few clouds,2021-08-07 20:18:28
20,Champerico,GT,14.3,-91.9167,88.93,67,99,5.32,overcast clouds,2021-08-07 20:18:29
21,Punta Arenas,CL,-53.15,-70.9167,35.71,80,0,23.02,clear sky,2021-08-07 20:18:29
22,Mount Gambier,AU,-37.8333,140.7667,35.51,100,90,8.05,overcast clouds,2021-08-07 20:18:29
23,Busselton,AU,-33.65,115.3333,57.04,93,98,6.53,light rain,2021-08-07 20:18:29
24,Vaini,TO,-21.2,-175.2,68.16,77,40,5.75,scattered clouds,2021-08-07 20:18:30
25,Jamestown,US,42.097,-79.2353,81.3,75,75,1.99,broken clouds,2021-08-07 20:15:19
26,Weligama,LK,5.9667,80.4167,77.83,87,100,13.56,overcast clouds,2021-08-07 20:18:30
27,Engel-Yurt,RU,43.3289,46.3603,80.11,41,86,4.81,overcast clouds,2021-08-07 20:18:31
28,Saskylakh,RU,71.9167,114.0833,49.14,77,100,7.72,overcast clouds,2021-08-07 20:18:31
