City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hithadhoo,MV,82.38,overcast clouds,-0.6,73.0833,Scoop Guest House
1,Nishihara,JP,78.85,light intensity shower rain,26.1842,127.7558,Minshuku Agaihama
5,Hasaki,JP,79.2,heavy intensity rain,35.7333,140.8333,Hotel Sunrise Choshi
6,Whitehorse,CA,63.1,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
7,Albany,US,87.15,overcast clouds,42.6001,-73.9662,
8,Guadix,ES,78.46,clear sky,37.2993,-3.1392,Hotel YIT Abentofail
9,Komsomolskiy,UZ,79.52,broken clouds,40.4272,71.7189,Ikathouse
10,Sao Filipe,CV,79.2,scattered clouds,14.8961,-24.4956,Hotel Xaguate
11,Pemberton,CA,65.89,overcast clouds,50.3164,-122.8027,Pemberton Valley Lodge
12,Sapouy,BF,79.21,overcast clouds,11.5544,-1.7736,Auberge St Louis
13,Rikitea,PF,74.01,few clouds,-23.1203,-134.9692,People ThankYou
14,Arequipa,PE,68.07,clear sky,-16.3989,-71.535,Casa de Avila Hotel
15,Yanam,IN,82.38,overcast clouds,16.7333,82.2167,The Regency Hotel
17,Sao Jose Da Coroa Grande,BR,75.02,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
19,Hinche,HT,89.02,few clouds,19.15,-72.0167,«Petites Soeurs de l'Incarnation»
20,Champerico,GT,88.93,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
24,Vaini,TO,68.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
25,Jamestown,US,81.3,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
26,Weligama,LK,77.83,overcast clouds,5.9667,80.4167,Weligama Bay Resort
27,Engel-Yurt,RU,80.11,overcast clouds,43.3289,46.3603,
29,Bethel,US,86.36,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
32,Yatou,CN,71.35,scattered clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
33,Alexandria,EG,82.58,clear sky,31.2156,29.9553,Royal Crown Hotel
35,Sai Buri,TH,77.76,scattered clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
36,Kapaa,US,84.52,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
38,Itarema,BR,81.37,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
39,Oranjestad,AW,89.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
40,Limoeiro Do Norte,BR,89.91,broken clouds,-5.1456,-38.0981,Hotel e Pousada Bezerra
41,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
42,Mahon,ES,79.36,scattered clouds,39.8885,4.2658,ARTIEM Capri
45,Butaritari,KI,82.22,few clouds,3.0707,172.7902,Isles Sunset Lodge
46,Arraial Do Cabo,BR,71.56,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
48,Samarai,PG,77.38,overcast clouds,-10.6167,150.6667,Nuli Sapi
49,Senanga,ZM,62.29,clear sky,-16.1167,23.2667,Zango lodge
50,Cookeville,US,84.92,clear sky,36.1628,-85.5016,La Quinta Inn & Suites by Wyndham Cookeville
51,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
52,Hilo,US,82.26,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
53,Yellowknife,CA,62.37,light rain,62.456,-114.3525,The Explorer Hotel
54,Morros,BR,88.84,few clouds,-9.4467,-46.3003,
56,Havre-Saint-Pierre,CA,66.56,scattered clouds,50.2334,-63.5986,Auberge Niapiskau
57,Shache,CN,78.91,light rain,38.4167,77.2406,Delong Hotel
59,Asau,RO,63.52,clear sky,46.4333,26.4,Casa Mika Ciobanus
60,Appingedam,NL,64.99,overcast clouds,53.3217,6.8583,estate Ekenstein
61,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
63,Araguari,BR,73.69,few clouds,-18.6472,-48.1872,Big Executive Hotel - Araguari MG
64,Atuona,PF,76.87,light rain,-9.8,-139.0333,Villa Enata
66,Joacaba,BR,70.23,overcast clouds,-27.1781,-51.5047,Hotel Jaraguá
68,Mar Del Plata,AR,60.82,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
69,Angoche,MZ,72.86,clear sky,-16.2325,39.9086,Guest House HESADA
71,Praya,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
73,Kindu,CD,75.27,overcast clouds,-2.95,25.95,Résidence Okanda
74,Meulaboh,ID,76.96,overcast clouds,4.1363,96.1285,Kost Pria
78,Victoria,HK,84.16,overcast clouds,22.2855,114.1577,Mini Hotel Central
79,Celestun,MX,86.63,scattered clouds,20.8667,-90.4,Posada Lilia
81,Kavieng,PG,81.27,moderate rain,-2.5744,150.7967,Nusa Island Retreat
84,Birin,NP,65.12,moderate rain,26.8865,88.0718,Sangam hotel and lodge
85,Santa Catarina De Tepehuanes,MX,75.45,overcast clouds,25.35,-105.7333,hotel plaza
91,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
93,Carnarvon,AU,66.27,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
95,Avera,US,89.91,overcast clouds,33.194,-82.5271,
98,Pitsunda,GE,71.78,moderate rain,43.1592,40.3378,Hotel FREEDOM
99,Ponta Do Sol,PT,75.7,broken clouds,32.6667,-17.1,Hotel do Campo
100,Nikolskoye,RU,64.29,light rain,59.7035,30.7861,Tourist House - Sablino
103,Sorong,ID,77.76,moderate rain,-0.8833,131.25,waigo splash hotel
105,Svetlaya,RU,60.67,overcast clouds,46.5389,138.3297,
107,Yunyang,CN,74.05,few clouds,33.4474,112.7142,Post & Telecom Hotel
108,La Tuque,CA,62.89,overcast clouds,47.4334,-72.7824,Gîte aux Trois Pignons
110,Kenai,US,69.03,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
111,Beira,MZ,66.29,clear sky,-19.8436,34.8389,Beira Terrace Hotel
113,Port Hardy,CA,66.38,light rain,50.6996,-127.4199,Airport Inn
114,Madang,PG,74.7,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
115,Xifeng,CN,65.41,overcast clouds,42.7372,124.7222,Home Inn Hotel
116,Cidreira,BR,63.59,clear sky,-30.1811,-50.2056,Hotel Castelo
117,Vila Franca Do Campo,PT,70.21,few clouds,37.7167,-25.4333,Pestana Bahia Praia
118,Aden,YE,84.34,clear sky,12.7794,45.0367,Sama Emirate Hotel
121,Gizo,SB,81.32,broken clouds,-8.103,156.8419,Imagination Island
122,Geraldton,AU,61.21,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
123,Lomas De Sargentillo,EC,84.58,overcast clouds,-1.8833,-80.0833,TALLER AUTOMOTRIZ GARY OLVERA
124,Ribeira Grande,PT,72.0,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
125,Swan River,CA,85.89,broken clouds,52.1058,-101.2676,Super 8 by Wyndham Swan River MB
127,Sioux Lookout,CA,71.98,smoke,50.1001,-91.917,Knobby's Fly-In Camps
128,Berlevag,NO,60.19,scattered clouds,70.8578,29.0864,Kvitbrakka
129,Asfi,MA,71.1,broken clouds,32.2994,-9.2372,Hôtel Abda
130,Ornskoldsvik,SE,67.82,overcast clouds,63.2909,18.7153,ファーストホテル スタット
131,Katsuura,JP,78.91,heavy intensity rain,35.1333,140.3,Katsuura Hotel Mikazuki
133,Lompoc,US,83.21,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
135,Vytegra,RU,61.32,overcast clouds,61.0064,36.4481,Wardenclyffe Volgo&Balt
136,Orbetello,IT,78.8,clear sky,42.4408,11.2196,Argentario Golf Resort & Spa
137,Esperance,AU,60.64,overcast clouds,-33.8667,121.9,Hospitality Esperance
140,Sao Joao Da Barra,BR,71.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
143,Abha,SA,64.22,clear sky,18.2164,42.5053,Abha Hotel
144,Balabac,PH,81.88,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
146,Stavrovo,RU,65.21,moderate rain,56.1331,40.013,
149,Beisfjord,NO,69.04,overcast clouds,68.3751,17.5988,
150,Cayenne,GF,85.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
151,Sitka,US,62.49,broken clouds,57.0531,-135.33,Westmark Sitka
152,Souillac,MU,70.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
154,Campechuela,CU,88.48,overcast clouds,20.2342,-77.2789,
157,Castro,BR,63.61,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
158,Zarubino,RU,68.81,clear sky,42.63,131.0922,"""Okean"" Baza Otdykha"
160,Isangel,VU,69.91,haze,-19.55,169.2667,Tanna Lodge
164,Faanui,PF,78.06,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
165,Chuy,UY,67.73,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
166,Raudeberg,NO,65.19,overcast clouds,61.9875,5.1352,Nordre Silda.
